399,-46,-20,26,33,-37,2,26,26,40,-13,-26,-53
400,-53,-20,33,37,-44,6,20,33,46,-13,-20,-33
401,-53,-26,26,40,-40,0,13,26,40,-13,-26,-40
402,-49,-20,29,34,-40,4,6,20,33,-13,-33,-46
403,-53,-20,33,37,-44,6,13,26,26,-13,-40,-53
404,-40,-17,22,29,-32,2,20,13,26,-26,-40,-60
405,-40,-20,20,30,-30,0,26,26,26,-26,-40,-66
406,-46,-26,20,37,-33,-4,40,20,20,-33,-46,-66
407,-46,-26,20,37,-33,-4,53,13,13,-40,-53,-66
408,-33,-10,22,22,-28,5,46,13,6,-46,-53,-66
409,-40,-6,33,24,-37,13,53,13,0,-40,-53,-66
410,-33,-10,22,22,-28,5,40,13,13,-46,-46,-60
411,-40,0,40,20,-40,20,40,0,13,-40,-40,-53
412,-36,-2,33,20,-34,14,33,-6,13,-40,-53,-66
413,-46,-6,40,26,-44,16,26,-13,13,-53,-53,-66
414,-46,-9,37,28,-42,13,33,-13,6,-46,-53,-73
415,-46,-13,33,30,-40,9,40,-13,0,-53,-53,-80
416,-40,-10,29,25,-34,9,40,-13,6,-53,-60,-80
417,-33,0,33,17,-33,16,40,-13,0,-53,-53,-80
418,-33,0,33,17,-33,16,40,-6,0,-46,-66,-86
419,-26,0,26,13,-26,13,40,-13,0,-40,-53,-80
420,-26,-2,24,14,-25,10,40,-20,0,-53,-66,-86
421,-33,-6,26,20,-30,9,40,-26,0,-53,-66,-80
422,-29,0,29,14,-29,14,46,-33,13,-53,-73,-86
423,-33,0,33,17,-33,16,53,-40,13,-53,-80,-93
424,-30,0,30,16,-30,14,40,-46,13,-53,-80,-86
425,-33,0,33,17,-33,16,40,-53,13,-53,-80,-80
426,-33,6,40,13,-37,22,33,-53,6,-53,-73,-80
427,-33,13,46,10,-40,29,40,-53,0,-53,-66,-80
428,-29,16,45,6,-37,30,40,-53,13,-53,-73,-73
429,-26,20,46,4,-37,33,40,-66,13,-53,-80,-66
430,-30,22,53,4,-42,37,33,-60,13,-60,-86,-66
431,-26,20,46,4,-37,33,26,-53,0,-66,-93,-66
432,-33,10,44,12,-38,26,26,-46,-6,-66,-86,-66
433,-33,6,40,13,-37,22,26,-40,0,-66,-93,-66
434,-29,10,40,9,-34,25,26,-40,-6,-66,-80,-66
435,-40,13,53,13,-46,33,26,-40,0,-66,-80,-66
436,-37,6,44,16,-41,25,20,-40,6,-66,-93,-66
437,-33,13,46,10,-40,29,13,-40,0,-66,-93,-66
438,-30,10,41,10,-36,25,13,-46,0,-66,-86,-66
439,-26,6,33,10,-30,20,13,-53,0,-66,-93,-66
440,-42,4,46,20,-45,25,20,-46,0,-73,-100,-66
441,-40,0,40,20,-40,20,26,-40,0,-66,-106,-66
442,-30,13,44,9,-37,28,26,-40,0,-80,-100,-66
443,-33,20,53,6,-44,36,26,-40,0,-80,-93,-66
444,-29,20,49,5,-40,34,20,-40,-6,-80,-93,-73
445,-33,20,53,6,-44,36,26,-40,-13,-80,-93,-80
446,-29,22,52,4,-41,37,20,-33,-13,-73,-93,-73
447,-33,20,53,6,-44,36,26,-40,-13,-66,-93,-66
448,-26,20,46,4,-37,33,13,-33,-6,-66,-93,-73
449,-26,20,46,4,-37,33,13,-40,0,-66,-93,-80
450,-20,17,37,1,-29,26,20,-40,0,-66,-93,-73
451,-26,6,33,10,-30,20,13,-40,0,-66,-93,-93
452,-26,6,33,10,-30,20,20,-40,0,-60,-93,-80
453,-33,6,40,13,-37,22,13,-40,0,-53,-93,-80
454,-40,6,46,17,-44,26,20,-40,0,-66,-86,-73
455,-53,0,53,26,-53,26,26,-40,0,-53,-80,-80
456,-37,6,44,16,-41,25,20,-33,6,-53,-80,-73
457,-33,6,40,13,-37,22,13,-40,0,-53,-80,-66
